Time,Open,High,Low,Close
2021-06-01 01:30:00,1.42254,1.4226,1.42235,1.42237
2021-06-01 01:35:00,1.42237,1.42252,1.42193,1.42201
2021-06-01 01:40:00,1.422,1.42245,1.422,1.42244
2021-06-01 01:45:00,1.42244,1.42273,1.42243,1.4227
2021-06-01 01:50:00,1.42275,1.42279,1.4223,1.42259
2021-06-01 01:55:00,1.42258,1.42277,1.4225,1.42269
2021-06-01 02:00:00,1.42271,1.42287,1.4226,1.42262
2021-06-01 02:05:00,1.4226,1.42267,1.4213,1.42138
2021-06-01 02:10:00,1.42136,1.42192,1.4212,1.4218
2021-06-01 02:15:00,1.42182,1.42226,1.42156,1.42218
2021-06-01 02:20:00,1.42218,1.4223,1.42192,1.4223
2021-06-01 02:25:00,1.42235,1.42288,1.42229,1.42282
2021-06-01 02:30:00,1.42282,1.42311,1.42245,1.42303
2021-06-01 02:35:00,1.42302,1.42303,1.42277,1.4229
2021-06-01 02:40:00,1.42291,1.42298,1.42279,1.42295
2021-06-01 02:45:00,1.42294,1.42334,1.4228,1.42306
2021-06-01 02:50:00,1.42307,1.42388,1.42302,1.42349
2021-06-01 02:55:00,1.4235,1.42371,1.4233,1.4235
2021-06-01 03:00:00,1.4235,1.42355,1.42268,1.42319
2021-06-01 03:05:00,1.42318,1.4233,1.42256,1.42321
2021-06-01 03:10:00,1.42324,1.42398,1.42319,1.42347
2021-06-01 03:15:00,1.42346,1.4243,1.42346,1.42386
2021-06-01 03:20:00,1.42386,1.42404,1.4235,1.42386
2021-06-01 03:25:00,1.42385,1.42397,1.42335,1.4235
2021-06-01 03:30:00,1.42351,1.42381,1.42329,1.42359
2021-06-01 03:35:00,1.42359,1.42369,1.42324,1.42336
2021-06-01 03:40:00,1.42336,1.42336,1.42274,1.42287
2021-06-01 03:45:00,1.42289,1.42316,1.42283,1.42284
2021-06-01 03:50:00,1.42285,1.42294,1.42228,1.42229
2021-06-01 03:55:00,1.42228,1.42247,1.42183,1.42223
2021-06-01 04:00:00,1.42226,1.42249,1.42195,1.42223
2021-06-01 04:05:00,1.42223,1.42232,1.42136,1.42136
2021-06-01 04:10:00,1.42137,1.42148,1.42057,1.42071
2021-06-01 04:15:00,1.42071,1.42093,1.4193,1.41945
2021-06-01 04:20:00,1.41943,1.41951,1.41836,1.41878
2021-06-01 04:25:00,1.41878,1.41922,1.4184,1.41894
2021-06-01 04:30:00,1.41894,1.41899,1.41761,1.4183
2021-06-01 04:35:00,1.41831,1.41838,1.41777,1.41813
2021-06-01 04:40:00,1.41811,1.41859,1.41809,1.4182
2021-06-01 04:45:00,1.41818,1.41851,1.41796,1.41815
2021-06-01 04:50:00,1.41814,1.41891,1.41799,1.41885
